"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"jerk due to linear acceleration of body x laying 18" "jerk due to linear acceleration of body in direction x" "laying" "18" "0.0749985010769231" "-0.985921071076923"
"jerk due to linear acceleration of body x laying 19" "jerk due to linear acceleration of body in direction x" "laying" "19" "0.0772317998650602" "-0.983605223493976"
"jerk due to linear acceleration of body x laying 20" "jerk due to linear acceleration of body in direction x" "laying" "20" "0.0892716006470588" "-0.984270728235294"
"jerk due to linear acceleration of body x laying 21" "jerk due to linear acceleration of body in direction x" "laying" "21" "0.0820150201077778" "-0.984826520888889"
"jerk due to linear acceleration of body x laying 22" "jerk due to linear acceleration of body in direction x" "laying" "22" "0.0752202242222222" "-0.970355191527778"
"jerk due to linear acceleration of body x laying 23" "jerk due to linear acceleration of body in direction x" "laying" "23" "0.0831787608333333" "-0.986360446805556"
"jerk due to linear acceleration of body x laying 24" "jerk due to linear acceleration of body in direction x" "laying" "24" "0.08072123275" "-0.98636543375"
"jerk due to linear acceleration of body x laying 25" "jerk due to linear acceleration of body in direction x" "laying" "25" "0.0879071687671233" "-0.973323412328767"
"jerk due to linear acceleration of body x laying 26" "jerk due to linear acceleration of body in direction x" "laying" "26" "0.0866502529210526" "-0.989315824868421"
"jerk due to linear acceleration of body x laying 27" "jerk due to linear acceleration of body in direction x" "laying" "27" "0.0766268551324324" "-0.986471899324324"
"jerk due to linear acceleration of body x laying 28" "jerk due to linear acceleration of body in direction x" "laying" "28" "0.0780770644" "-0.9801647165"
"jerk due to linear acceleration of body x laying 29" "jerk due to linear acceleration of body in direction x" "laying" "29" "0.0718861195971014" "-0.99200598942029"
"jerk due to linear acceleration of body x laying 30" "jerk due to linear acceleration of body in direction x" "laying" "30" "0.0752196666428571" "-0.977463775571429"
"jerk due to linear acceleration of body x sitting 1" "jerk due to linear acceleration of body in direction x" "sitting" "1" "0.0774825199574468" "-0.986430711276596"
"jerk due to linear acceleration of body x sitting 2" "jerk due to linear acceleration of body in direction x" "sitting" "2" "0.0722564387173913" "-0.988055854130435"
"jerk due to linear acceleration of body x sitting 3" "jerk due to linear acceleration of body in direction x" "sitting" "3" "0.0726098418653846" "-0.974467390384615"
"jerk due to linear acceleration of body x sitting 4" "jerk due to linear acceleration of body in direction x" "sitting" "4" "0.0784500239" "-0.9767421962"
"jerk due to linear acceleration of body x sitting 5" "jerk due to linear acceleration of body in direction x" "sitting" "5" "0.0749577410909091" "-0.975204850227273"
"jerk due to linear acceleration of body x sitting 6" "jerk due to linear acceleration of body in direction x" "sitting" "6" "0.0754721635223636" "-0.969929476363636"
"jerk due to linear acceleration of body x sitting 7" "jerk due to linear acceleration of body in direction x" "sitting" "7" "0.0668519793125" "-0.982158098125"
"jerk due to linear acceleration of body x sitting 8" "jerk due to linear acceleration of body in direction x" "sitting" "8" "0.0786713761086957" "-0.985188753695652"
"jerk due to linear acceleration of body x sitting 9" "jerk due to linear acceleration of body in direction x" "sitting" "9" "0.077005006374" "-0.9645358564"
"jerk due to linear acceleration of body x sitting 10" "jerk due to linear acceleration of body in direction x" "sitting" "10" "0.0775372505185185" "-0.988946414074074"
"jerk due to linear acceleration of body x sitting 11" "jerk due to linear acceleration of body in direction x" "sitting" "11" "0.0761777324716981" "-0.980335163584906"
"jerk due to linear acceleration of body x sitting 12" "jerk due to linear acceleration of body in direction x" "sitting" "12" "0.0771277656078431" "-0.976494200784314"
"jerk due to linear acceleration of body x sitting 13" "jerk due to linear acceleration of body in direction x" "sitting" "13" "0.0752865881142857" "-0.992827264081633"
"jerk due to linear acceleration of body x sitting 14" "jerk due to linear acceleration of body in direction x" "sitting" "14" "0.0741878844074074" "-0.980890655185185"
"jerk due to linear acceleration of body x sitting 15" "jerk due to linear acceleration of body in direction x" "sitting" "15" "0.0784792788644068" "-0.988162333898305"
"jerk due to linear acceleration of body x sitting 16" "jerk due to linear acceleration of body in direction x" "sitting" "16" "0.0734346720289855" "-0.990861134782609"
"jerk due to linear acceleration of body x sitting 17" "jerk due to linear acceleration of body in direction x" "sitting" "17" "0.075070986171875" "-0.99434060296875"
"jerk due to linear acceleration of body x sitting 18" "jerk due to linear acceleration of body in direction x" "sitting" "18" "0.076622889" "-0.991624662105263"
"jerk due to linear acceleration of body x sitting 19" "jerk due to linear acceleration of body in direction x" "sitting" "19" "0.0753747129191781" "-0.987043285479452"
"jerk due to linear acceleration of body x sitting 20" "jerk due to linear acceleration of body in direction x" "sitting" "20" "0.0746568393030303" "-0.982078229242424"
"jerk due to linear acceleration of body x sitting 21" "jerk due to linear acceleration of body in direction x" "sitting" "21" "0.0757109789882353" "-0.989439392235294"
"jerk due to linear acceleration of body x sitting 22" "jerk due to linear acceleration of body in direction x" "sitting" "22" "0.0807687311935484" "-0.981664149193548"
"jerk due to linear acceleration of body x sitting 23" "jerk due to linear acceleration of body in direction x" "sitting" "23" "0.0770022352205882" "-0.984561803823529"
"jerk due to linear acceleration of body x sitting 24" "jerk due to linear acceleration of body in direction x" "sitting" "24" "0.0763318528529412" "-0.988564382205882"
"jerk due to linear acceleration of body x sitting 25" "jerk due to linear acceleration of body in direction x" "sitting" "25" "0.0752087009912308" "-0.992278621692308"
"jerk due to linear acceleration of body x sitting 26" "jerk due to linear acceleration of body in direction x" "sitting" "26" "0.0764443226333333" "-0.99225839525641"
"jerk due to linear acceleration of body x sitting 27" "jerk due to linear acceleration of body in direction x" "sitting" "27" "0.0779038963571429" "-0.990658097857143"
"jerk due to linear acceleration of body x sitting 28" "jerk due to linear acceleration of body in direction x" "sitting" "28" "0.0768671621527778" "-0.976286679444444"
"jerk due to linear acceleration of body x sitting 29" "jerk due to linear acceleration of body in direction x" "sitting" "29" "0.0745438102516667" "-0.993525560333333"
"jerk due to linear acceleration of body x sitting 30" "jerk due to linear acceleration of body in direction x" "sitting" "30" "0.0760057731790323" "-0.988864577419355"
"jerk due to linear acceleration of body x standing 1" "jerk due to linear acceleration of body in direction x" "standing" "1" "0.0753766542264151" "-0.994604542264151"
"jerk due to linear acceleration of body x standing 2" "jerk due to linear acceleration of body in direction x" "standing" "2" "0.0747588597592593" "-0.981085715555556"
"jerk due to linear acceleration of body x standing 3" "jerk due to linear acceleration of body in direction x" "standing" "3" "0.0750900622277049" "-0.957086489344262"
"jerk due to linear acceleration of body x standing 4" "jerk due to linear acceleration of body in direction x" "standing" "4" "0.0721328379857143" "-0.972586541964286"
"jerk due to linear acceleration of body x standing 5" "jerk due to linear acceleration of body in direction x" "standing" "5" "0.0725189859107143" "-0.962647080178571"
"jerk due to linear acceleration of body x standing 6" "jerk due to linear acceleration of body in direction x" "standing" "6" "0.0730699604561404" "-0.973132635789474"
"jerk due to linear acceleration of body x standing 7" "jerk due to linear acceleration of body in direction x" "standing" "7" "0.0751915112830189" "-0.976403544716981"
"jerk due to linear acceleration of body x standing 8" "jerk due to linear acceleration of body in direction x" "standing" "8" "0.0753739045185185" "-0.989198879814815"
"jerk due to linear acceleration of body x standing 9" "jerk due to linear acceleration of body in direction x" "standing" "9" "0.0760032053555556" "-0.969973398888889"
"jerk due to linear acceleration of body x standing 10" "jerk due to linear acceleration of body in direction x" "standing" "10" "0.0809784390227273" "-0.964311490454545"
"jerk due to linear acceleration of body x standing 11" "jerk due to linear acceleration of body in direction x" "standing" "11" "0.0760097721914894" "-0.992527404255319"
"jerk due to linear acceleration of body x standing 12" "jerk due to linear acceleration of body in direction x" "standing" "12" "0.0744631761967213" "-0.972440195081967"
"jerk due to linear acceleration of body x standing 13" "jerk due to linear acceleration of body in direction x" "standing" "13" "0.0758630962280702" "-0.987636104210526"
"jerk due to linear acceleration of body x standing 14" "jerk due to linear acceleration of body in direction x" "standing" "14" "0.0737933748485" "-0.978248526"
"jerk due to linear acceleration of body x standing 15" "jerk due to linear acceleration of body in direction x" "standing" "15" "0.0752280703207547" "-0.985459068490566"
"jerk due to linear acceleration of body x standing 16" "jerk due to linear acceleration of body in direction x" "standing" "16" "0.0736438905641026" "-0.991026497435897"
"jerk due to linear acceleration of body x standing 17" "jerk due to linear acceleration of body in direction x" "standing" "17" "0.0740864955641026" "-0.992094005512821"
"jerk due to linear acceleration of body x standing 18" "jerk due to linear acceleration of body in direction x" "standing" "18" "0.0753539482328767" "-0.989436673835616"
"jerk due to linear acceleration of body x standing 19" "jerk due to linear acceleration of body in direction x" "standing" "19" "0.0754120366712329" "-0.984792035205479"
"jerk due to linear acceleration of body x standing 20" "jerk due to linear acceleration of body in direction x" "standing" "20" "0.0763556159315068" "-0.959528332191781"
"jerk due to linear acceleration of body x standing 21" "jerk due to linear acceleration of body in direction x" "standing" "21" "0.0754543858764045" "-0.97706335011236"
